%
% ARFF data file, generated by KNIME
%
% Date: Tue Apr 14 11:57:48 CEST 2015
% User: carlosan
%

@RELATION DataTable
@ATTRIBUTE MONTH	{October,June,April,December,November,July,January,September,May,February,August,March}
@ATTRIBUTE HOUR	{21:00,17:00,2:00,4:00,11:00,13:00,15:00,22:00,23:00,7:00,0:00,18:00,6:00,1:00,16:00,12:00,5:00,20:00,3:00,19:00,14:00,8:00,10:00,9:00}
@ATTRIBUTE pressure	INTEGER
@ATTRIBUTE three_hour_pressure_change	INTEGER
@ATTRIBUTE wind_direction	INTEGER
@ATTRIBUTE wind_speed	REAL
@ATTRIBUTE visibility	INTEGER
@ATTRIBUTE cloud_cover	INTEGER
@ATTRIBUTE height_of_base_of_cloud	INTEGER
@ATTRIBUTE dewpoint	REAL
@ATTRIBUTE drybulb	REAL
@ATTRIBUTE char_pressure_tendency_string	{lower,higher,'same or lower',steady,'same or higher'}
@ATTRIBUTE present_weather_string	{'no meteors during the past hour',rain,'showery precipitation','solid precipitation not in showers',drizzle,'showers of rain',precipitation,'fog or ice fog preceding hour',mist,snow,fog,patches,'thunderstorm preceding hour',lightning,'freezing drizzle or rain','showers of snow','thunderstorm no precipitation','rain and snow','showers of hail','haze dust or smoke','funnel clouds'}
@ATTRIBUTE past_weather1_string	{'cloud covering the sky',rain,thunderstorm,snow,showers,drizzle,'fog or ice fog or thick haze'}
@ATTRIBUTE past_weather2_string	{'cloud covering the sky',rain,drizzle,snow,'fog or ice fog or thick haze',showers,thunderstorm,'sandstorm duststorm or blowing snow'}
@ATTRIBUTE cloud_type_string	{'stratus nebulosus','cumulus and stratocumulus not cumulogenitus','low clouds invisible due to darknes fog dust or sand','stratocumulus not cumulogenitus','cumulus humilis','stratus fractus','cumulus mediocris','no low clouds','cumulonimbus capillatus','stratocumulus cumulogenitus','cumulunimbus calvus'}
@ATTRIBUTE FOG+3	{NO,YES}

@DATA
January,7:00,100380,-20,190,9.719,20000,0,?,5.45,6.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
August,12:00,99520,-200,200,155.504,30000,5,3500,13.15,23.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,21:00,99710,0,170,19.438,20000,6,450,16.35,17.85,'same or higher','no meteors during the past hour',thunderstorm,showers,'cumulus and stratocumulus not cumulogenitus',NO
February,18:00,101760,130,60,58.314,25000,1,2250,-13.55,-4.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,10:00,99920,70,210,116.628,15000,8,450,10.15,12.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
April,21:00,100710,130,320,38.876,25000,1,1750,2.05,5.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,21:00,101650,10,360,38.876,15000,0,?,2.25,5.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
December,19:00,99990,150,220,116.628,20000,7,800,5.45,9.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,7:00,100320,70,320,38.876,15000,1,3500,14.55,19.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,4:00,100080,50,300,77.752,10000,8,1250,15.45,17.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,13:00,100650,-60,270,58.314,20000,7,1250,13.55,21.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,21:00,100650,-20,360,38.876,30000,0,?,10.45,20.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
September,13:00,101590,-30,40,58.314,25000,6,1250,14.25,24.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
February,1:00,100790,-50,180,77.752,7000,0,?,-1.15,0.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,2:00,100860,-90,20,58.314,7000,8,1750,5.65,8.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
February,3:00,99470,460,360,136.066,6000,5,450,2.05,4.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
January,10:00,100390,170,30,116.628,4000,7,3500,-14.85,-11.85,higher,mist,'cloud covering the sky','cloud covering the sky','no low clouds',NO
July,0:00,100540,10,40,38.876,20000,1,3500,15.25,21.35,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,16:00,99950,-120,210,19.438,20000,6,3500,7.05,28.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,22:00,100850,90,340,58.314,20000,1,1750,5.55,8.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,21:00,99590,90,220,116.628,25000,6,1250,14.35,19.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulonimbus capillatus',NO
June,22:00,100230,170,220,38.876,25000,4,8000,15.25,21.15,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,3:00,100490,-110,110,58.314,30000,2,8000,6.75,12.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,10:00,102160,60,50,116.628,10000,5,450,-9.15,-5.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,7:00,99130,10,310,9.719,7000,8,250,3.35,4.85,higher,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
March,19:00,100710,240,320,19.438,20000,7,1250,5.25,7.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,4:00,100580,50,250,19.438,20000,4,8000,10.35,12.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
November,14:00,99220,-130,180,77.752,20000,1,800,7.55,12.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
August,9:00,99890,30,100,38.876,17000,1,1750,17.05,23.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
September,12:00,100980,-130,20,77.752,25000,7,800,11.25,17.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
October,5:00,100920,30,230,38.876,12000,7,1250,6.85,12.35,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,13:00,97850,-20,240,116.628,7000,8,150,0.35,0.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
June,12:00,101310,-90,50,136.066,20000,0,?,8.65,21.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,8:00,102030,80,280,19.438,2000,4,1250,2.85,3.45,higher,mist,'cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
July,1:00,100690,20,70,38.876,15000,2,8000,15.05,18.95,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
July,12:00,99710,-100,240,9.719,30000,6,1250,11.35,22.95,lower,'no meteors during the past hour',showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
April,9:00,100970,90,60,58.314,6000,0,?,8.05,14.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
November,4:00,98310,-30,200,136.066,20000,6,800,5.05,7.95,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
August,19:00,99920,-90,210,9.719,30000,6,2250,9.55,19.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
September,10:00,101630,70,70,77.752,10000,1,8000,6.45,18.55,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
April,9:00,101370,-30,100,116.628,20000,2,8000,-6.05,8.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
March,22:00,100970,90,40,77.752,20000,0,?,-1.35,4.85,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
October,11:00,99510,-160,190,116.628,6000,8,450,9.75,10.95,lower,rain,rain,rain,'cumulus and stratocumulus not cumulogenitus',NO
November,5:00,101760,110,240,19.438,11000,1,3500,4.65,5.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,6:00,100020,30,330,38.876,5000,8,450,16.05,17.05,higher,rain,rain,'cloud covering the sky','cumulonimbus capillatus',NO
July,14:00,99570,40,200,116.628,12000,7,450,14.85,19.85,higher,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
November,10:00,100190,20,180,58.314,13000,6,800,4.55,6.75,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
February,22:00,102240,-60,70,58.314,10000,0,?,-5.25,0.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
May,14:00,99280,-40,20,19.438,15000,8,800,7.45,16.85,lower,rain,rain,'cloud covering the sky','cumulus mediocris',NO
August,2:00,99740,-120,50,58.314,25000,8,1750,13.55,18.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,21:00,100770,40,140,77.752,22000,6,1750,7.35,19.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
December,16:00,98690,20,220,77.752,15000,7,450,0.05,3.35,'same or higher',rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
September,12:00,99950,-70,270,174.942,20000,8,450,15.45,18.55,lower,'no meteors during the past hour',drizzle,'cloud covering the sky','stratocumulus not cumulogenitus',NO
October,22:00,100130,-20,70,77.752,10000,0,?,14.15,16.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
April,19:00,100520,70,40,58.314,30000,0,?,-11.15,5.45,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
May,0:00,101680,90,330,58.314,30000,8,3500,6.25,10.95,higher,'no meteors during the past hour',rain,'cloud covering the sky','no low clouds',NO
January,13:00,101320,-40,30,19.438,15000,2,800,-6.05,-0.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
March,10:00,101490,80,280,58.314,12000,6,8000,1.85,9.25,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
February,3:00,100250,-220,230,155.504,15000,8,450,4.55,8.35,lower,'no meteors during the past hour',showers,rain,'stratocumulus not cumulogenitus',NO
May,4:00,99420,-190,100,58.314,20000,7,3500,9.65,12.45,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
August,9:00,100750,130,10,77.752,7000,5,2250,14.85,18.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,15:00,101010,-90,290,58.314,25000,7,1750,13.05,28.35,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
August,15:00,100370,-140,40,136.066,20000,6,3500,11.15,20.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
November,16:00,100540,-170,160,58.314,5000,2,3500,1.55,3.65,lower,fog,'cloud covering the sky','cloud covering the sky','no low clouds',NO
May,13:00,100150,-10,220,58.314,25000,5,1250,5.75,18.15,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
December,20:00,101360,90,270,38.876,25000,2,8000,-1.75,0.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
October,4:00,100980,-70,250,77.752,25000,8,800,10.25,14.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,11:00,100490,-70,280,58.314,20000,0,?,8.95,23.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
August,23:00,100510,90,230,38.876,20000,1,1250,11.35,13.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
August,11:00,99430,-10,240,136.066,18000,6,1750,16.55,28.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
July,15:00,101050,-80,50,136.066,25000,0,?,8.65,24.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
December,12:00,98320,-60,210,116.628,12000,8,250,-1.55,0.05,lower,snow,snow,'cloud covering the sky','stratocumulus not cumulogenitus',NO
April,4:00,99510,90,220,58.314,8000,7,1250,10.05,11.15,higher,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
March,21:00,101270,10,70,58.314,20000,3,8000,-4.35,0.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
December,8:00,100940,10,220,116.628,4000,7,450,0.95,2.25,higher,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
June,4:00,100980,10,360,38.876,15000,6,3500,12.35,14.35,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
May,22:00,101090,180,360,38.876,25000,1,1750,5.75,9.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,3:00,100270,70,10,77.752,7000,0,?,0.75,1.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
May,0:00,99580,-10,20,58.314,10000,6,1750,3.45,6.85,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
October,0:00,101250,-20,360,38.876,4500,8,80,13.25,13.55,lower,mist,drizzle,'cloud covering the sky','stratocumulus not cumulogenitus',NO
February,13:00,101490,-80,30,116.628,12000,1,1250,2.65,8.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
December,14:00,99010,-210,210,29.157,35000,7,800,5.65,11.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,18:00,99990,30,250,77.752,10000,8,800,12.35,14.65,'same or higher',rain,showers,rain,'cumulus and stratocumulus not cumulogenitus',NO
March,19:00,100060,210,200,9.719,15000,5,800,10.05,14.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,19:00,100130,-100,220,174.942,25000,7,1250,10.95,19.95,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
May,17:00,101510,10,310,77.752,30000,7,1750,0.85,18.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus cumulogenitus',NO
September,5:00,100610,-20,50,77.752,20000,1,8000,6.95,9.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
September,9:00,100320,130,20,174.942,8000,7,450,11.45,14.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
October,1:00,101380,-70,40,9.719,13000,0,?,5.75,7.75,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
February,8:00,101630,100,270,58.314,600,8,30,8.85,8.95,higher,fog,'fog or ice fog or thick haze','fog or ice fog or thick haze','stratus nebulosus',NO
August,15:00,100430,-30,230,116.628,35000,7,1750,9.55,23.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
February,15:00,100510,10,40,155.504,14000,7,800,-5.65,0.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
November,17:00,100410,20,210,77.752,30000,2,1250,5.75,13.55,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
November,4:00,99770,-80,210,77.752,15000,7,1750,3.85,6.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,4:00,100450,90,250,58.314,25000,1,1750,7.65,10.05,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,2:00,100690,-80,30,38.876,20000,7,1250,8.85,14.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,16:00,100810,-180,310,77.752,25000,5,8000,8.45,24.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,8:00,100280,90,220,136.066,20000,7,450,13.55,17.85,higher,rain,rain,'cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
January,8:00,100650,50,320,38.876,6000,7,250,-6.35,-4.55,'same or higher','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
March,10:00,100120,100,220,38.876,15000,7,1250,1.85,6.95,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
March,0:00,100680,120,230,77.752,25000,1,1750,1.95,5.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,23:00,99570,40,350,77.752,20000,0,?,2.25,5.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
July,12:00,100250,-20,270,174.942,25000,4,1250,9.55,20.25,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
September,6:00,99710,-150,220,116.628,15000,8,450,11.55,13.35,lower,rain,rain,'cloud covering the sky','stratocumulus not cumulogenitus',NO
February,16:00,100690,-10,270,77.752,1200,8,80,7.65,7.75,lower,drizzle,drizzle,drizzle,'stratus fractus',NO
February,12:00,101550,-50,180,77.752,5000,0,?,3.95,10.65,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
August,2:00,99610,140,330,9.719,18000,6,450,12.15,14.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
May,18:00,99560,-130,260,77.752,20000,5,1250,7.45,18.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
